id,slug,banner_id,status,is_registration_open,start_date,end_date,updated_at,created_at,total_played_matches,total_possible_points,recalculation_hour,api_hockey_id,api_hockey_season
dlcf5rmik3eugzc2yg43mcc4,nhl-2025-2026,,active,true,2025-09-20 00:00:00+00,2026-04-17 00:00:00+00,2026-02-26 19:31:16.649+00,2026-02-26 19:08:59.871+00,0,0,5,57,2025
m2u0vnxczjnj45pj6tvh6ard,slovenska-1-hokejova-liga,,finished,false,2025-09-05 00:00:00+00,2026-03-20 23:59:59+00,2026-02-26 19:19:47.846+00,2026-02-09 20:57:13.433+00,0,0,5,42,2025
nuy2mhu5y0bptjed2r4dfwtm,og-2026,,active,true,2026-02-11 09:00:00+00,2026-02-22 23:59:00+00,2026-02-26 19:18:50.652+00,2026-01-20 21:27:35.878+00,0,90,4,131,2026
spsevlvb34lj4i4ny3aq4odq,tipsport-2025-2026,,active,true,2025-09-19 12:00:00+00,2026-04-25 12:00:00+00,2026-01-28 15:46:57.862+00,2026-01-20 21:31:23.28+00,6,30,1,91,2025
