id,order,parent_id,path,membership_tiers_id
6,1,nuy2mhu5y0bptjed2r4dfwtm,requiredTiers,lm84qt0hgpc7tqrwpah9bzta
7,1,m2u0vnxczjnj45pj6tvh6ard,requiredTiers,lm84qt0hgpc7tqrwpah9bzta
19,1,dlcf5rmik3eugzc2yg43mcc4,requiredTiers,lm84qt0hgpc7tqrwpah9bzta
