name,description,id,_locale,_parent_id
Tipsport Extraliga 2025/2026,Najvyššia slovenská hokejová súťaž. 12 tímov bojuje o majstrovský titul a Pohár Vladimíra Dzurillu.,15,sk,spsevlvb34lj4i4ny3aq4odq
Tipsport Extraliga 2025/2026,The top-tier Slovak ice hockey league. 12 teams compete for the championship title and the Vladimír Dzurilla Trophy.,16,en,spsevlvb34lj4i4ny3aq4odq
ZOH 2026 Miláno-Cortina,Hokejový turnaj na ZOH 2026. Najlepší hráči sveta vrátane hviezd NHL bojujú o olympijské zlato v Taliansku.,17,sk,nuy2mhu5y0bptjed2r4dfwtm
Winter Olympics 2026,"Ice hockey tournament at the 2026 Winter Olympics. The worlds best players, including NHL stars, compete for Olympic gold.",18,en,nuy2mhu5y0bptjed2r4dfwtm
Slovenská 1. hokejová liga,Slovenská 1. hokejová liga Sezóna 2025/2026,19,sk,m2u0vnxczjnj45pj6tvh6ard
NHL,NHL,53,sk,dlcf5rmik3eugzc2yg43mcc4
NHL,NHL,54,en,dlcf5rmik3eugzc2yg43mcc4
NHL,NHL,55,cz,dlcf5rmik3eugzc2yg43mcc4
